App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Size_MB
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706,19M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.35388257575757576,19.0
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.0510880756974507,19.0
HBO GO: Stream with TV Package,ENTERTAINMENT,3.8,87723,32M,"10,000,000+",Free,0.0,Teen,Entertainment,"July 19, 2018",16.0.0.437,4.1 and up,-0.055652711720192906,32.0
FOX,ENTERTAINMENT,3.7,197774,44M,"10,000,000+",Free,0.0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up,0.21398402523402524,44.0
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.2112787731438599,20.0
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706,19M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.35388257575757576,19.0
Comedy Central,ENTERTAINMENT,3.9,22378,19M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.17142376628681774,19.0
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.0510880756974507,19.0
FOX,ENTERTAINMENT,3.7,197774,44M,"10,000,000+",Free,0.0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up,0.21398402523402524,44.0
Hamilton — The Official App,ENTERTAINMENT,4.5,1575,43M,"100,000+",Free,0.0,Everyone,Entertainment,"July 13, 2018",2.3.2,5.0 and up,0.16104723181360084,43.0
All Events in City,EVENTS,4.0,3782,9.5M,"100,000+",Free,0.0,Everyone,Events,"June 12, 2018",8.4,4.0.3 and up,0.5028597402597402,9.5
DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,"10,000+",Free,0.0,Everyone,Events,"May 29, 2018",3.8,4.0 and up,0.12617521367521367,2.8
Happy Birthday Songs Offline,EVENTS,4.4,464,8.9M,"100,000+",Free,0.0,Everyone,Events,"December 4, 2017",1.3,4.1 and up,0.36470588235294116,8.9
"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,4.5,8800,24M,"1,000,000+",Free,0.0,Everyone,Events,"July 17, 2018",11.1.1,5.0 and up,0.3797400972400972,24.0
Citibanamex Movil,FINANCE,3.6,52306,42M,"5,000,000+",Free,0.0,Everyone,Finance,"July 27, 2018",20.1.0,5.0 and up,0.15006144781144778,42.0
Bualuang mBanking,FINANCE,4.0,48445,10M,"5,000,000+",Free,0.0,Everyone,Finance,"July 16, 2018",2.6.0,4.0.3 and up,0.004322019211725096,10.0
Ecobank Mobile Banking,FINANCE,4.0,12073,42M,"1,000,000+",Free,0.0,Everyone,Finance,"May 25, 2018",3.3,4.2 and up,-0.014860031943365276,42.0
Banorte Movil,FINANCE,4.1,111632,65M,"1,000,000+",Free,0.0,Everyone,Finance,"June 9, 2018",5.10.1.40699,4.4 and up,0.116998667998668,65.0
BZWBK24 mobile,FINANCE,4.5,64959,39M,"1,000,000+",Free,0.0,Everyone,Finance,"June 18, 2018",5.0.1,4.1 and up,0.3268825522303783,39.0
"Even - organize your money, get paid early",FINANCE,4.8,12304,21M,"100,000+",Free,0.0,Everyone,Finance,"August 2, 2018",6.0.16,5.0 and up,0.2839285714285714,21.0
Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",Free,0.0,Everyone,Finance,"July 31, 2018",2.29.01,4.1 and up,0.250246308750773,22.0
Expense IQ Money Manager,FINANCE,4.4,21570,27M,"1,000,000+",Free,0.0,Everyone,Finance,"June 19, 2018",2.0.4,4.0 and up,0.22750618948703624,27.0
Experian - Free Credit Report,FINANCE,4.6,23130,46M,"1,000,000+",Free,0.0,Everyone,Finance,"July 12, 2018",2.1.4,4.2 and up,0.1705043708304578,46.0
Branch,FINANCE,4.6,69973,3.8M,"1,000,000+",Free,0.0,Everyone,Finance,"July 23, 2018",1.17.1,4.0 and up,0.26422979797979795,3.8
CreditWise from Capital One,FINANCE,4.6,26587,8.4M,"1,000,000+",Free,0.0,Everyone,Finance,"July 19, 2018",1.18.0,4.4 and up,0.23945429387863595,8.4
Credit Sesame,FINANCE,4.3,25166,11M,"1,000,000+",Free,0.0,Everyone,Finance,"July 25, 2018",3.1.16,4.1 and up,0.08866738579403051,11.0
Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7.4M,"1,000,000+",Free,0.0,Everyone,Finance,"July 24, 2018",2.9.5,4.0.3 and up,0.15972740535608182,7.4
E*TRADE Mobile,FINANCE,3.9,10658,58M,"1,000,000+",Free,0.0,Everyone,Finance,"August 2, 2018",6.8.2,4.4 and up,0.15327341401364838,58.0
Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",Free,0.0,Everyone,Finance,"July 31, 2018",2.29.01,4.1 and up,0.250246308750773,22.0
Current debit card and app made for teens,FINANCE,4.3,685,21M,"50,000+",Free,0.0,Everyone,Finance,"August 3, 2018",3.0.22,4.4 and up,0.3272583733540765,21.0
Betterment,FINANCE,4.4,3780,11M,"100,000+",Free,0.0,Everyone,Finance,"August 3, 2018",6.0.6,5.0 and up,0.14325219763259925,11.0
Citizens Bank Mobile Banking,FINANCE,4.1,15192,38M,"1,000,000+",Free,0.0,Everyone,Finance,"May 23, 2018",4.2.1,4.1 and up,0.013179054741554742,38.0
GoBank,FINANCE,4.4,5950,12M,"500,000+",Free,0.0,Everyone,Finance,"June 1, 2018",2.131,4.1 and up,0.039100828396805405,12.0
BBVA Compass Banking,FINANCE,4.3,5905,50M,"500,000+",Free,0.0,Everyone,Finance,"July 27, 2018",6.0.2,4.4 and up,0.2055902244649166,50.0
BankMobile Vibe App,FINANCE,4.3,14627,23M,"1,000,000+",Free,0.0,Everyone,Finance,"July 9, 2018",5.1,4.1 and up,0.35345457682414205,23.0
ACE Elite,FINANCE,4.1,2898,45M,"100,000+",Free,0.0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up,0.25217091550424886,45.0
Associated Credit Union Mobile,FINANCE,4.7,3290,12M,"50,000+",Free,0.0,Everyone,Finance,"May 30, 2018",5.9.1.0,5.0 and up,0.3880928287981859,12.0
Bank of America Mobile Banking,FINANCE,4.4,341090,53M,"10,000,000+",Free,0.0,Everyone,Finance,"July 31, 2018",7.8.8,4.4 and up,0.1800268291975881,53.0
Discover Mobile,FINANCE,4.6,87951,68M,"5,000,000+",Free,0.0,Everyone,Finance,"July 23, 2018",9.7.0,4.1 and up,-0.0416666666666666,68.0
Amex Mobile,FINANCE,4.3,24729,32M,"1,000,000+",Free,0.0,Everyone,Finance,"August 3, 2018",6.7.0,5.0 and up,0.17566632595799261,32.0
Citi Mobile®,FINANCE,4.0,78306,46M,"5,000,000+",Free,0.0,Everyone,Finance,"July 31, 2018",9.9.0,4.4 and up,-0.03873065476190478,46.0
Chase Mobile,FINANCE,4.6,1374549,32M,"10,000,000+",Free,0.0,Everyone,Finance,"July 23, 2018",3.52,5.0 and up,0.048165996701710984,32.0
Barclays US for Android,FINANCE,4.1,6998,24M,"1,000,000+",Free,0.0,Everyone,Finance,"August 1, 2018",6.29.37589,5.0 and up,0.017928003998316493,24.0
Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9M,"100,000+",Free,0.0,Everyone,Food & Drink,"May 15, 2018",2.12,4.0.3 and up,0.27053819444444444,8.9
Debonairs Pizza,FOOD_AND_DRINK,3.8,3320,8.4M,"500,000+",Free,0.0,Everyone,Food & Drink,"August 4, 2018",1.9.117,4.0.3 and up,0.0465277777777778,8.4
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68103,66M,"1,000,000+",Free,0.0,Everyone,Food & Drink,"June 20, 2018",5.0.0,4.4 and up,0.1965599297808238,66.0
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35M,"5,000,000+",Free,0.0,Everyone,Food & Drink,"August 2, 2018",7.12,5.0 and up,0.12273932938406622,35.0
Dairy Queen,FOOD_AND_DRINK,3.7,731,43M,"100,000+",Free,0.0,Everyone,Food & Drink,"July 25, 2018",2.1.0,4.1 and up,0.1894097222222222,43.0
Healthy Recipes Free,FOOD_AND_DRINK,4.0,1077,17M,"100,000+",Free,0.0,Everyone,Food & Drink,"October 18, 2017",3.2.0,4.0.3 and up,0.4033939116439117,17.0
Easy Healthy Recipes,FOOD_AND_DRINK,4.1,278,7.2M,"50,000+",Free,0.0,Everyone,Food & Drink,"July 20, 2018",24.5.0,4.0 and up,0.445762473876698,7.2
Cookpad,FOOD_AND_DRINK,4.5,131569,8.2M,"10,000,000+",Free,0.0,Everyone,Food & Drink,"August 3, 2018",2.76.2.0-android,4.2 and up,0.2574367684784351,8.2
"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,4.3,31986,76M,"1,000,000+",Free,0.0,Teen,Food & Drink,"November 23, 2017",5.7.23,5.0 and up,0.3282224025974026,76.0
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35M,"5,000,000+",Free,0.0,Everyone,Food & Drink,"August 2, 2018",7.12,5.0 and up,0.12273932938406622,35.0
EatStreet Food Delivery App,FOOD_AND_DRINK,4.6,7690,25M,"100,000+",Free,0.0,Everyone,Food & Drink,"July 3, 2018",3.1.14,5.0 and up,0.3832653026403026,25.0
Caviar - Food Delivery,FOOD_AND_DRINK,4.2,3755,8.5M,"100,000+",Free,0.0,Everyone,Food & Drink,"July 20, 2018",2.4.11,6.0 and up,0.21737478089040588,8.5
Home Workout - No Equipment,HEALTH_AND_FITNESS,4.8,428156,15M,"10,000,000+",Free,0.0,Everyone,Health & Fitness,"June 28, 2018",Varies with device,Varies with device,0.3383518564768565,15.0
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15M,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"July 10, 2018",1.0.2,4.0 and up,0.5234495192307692,15.0
Fat Burning Workout - Home Weight lose,HEALTH_AND_FITNESS,4.5,706,9.4M,"100,000+",Free,0.0,Everyone,Health & Fitness,"July 24, 2018",1.0.5,4.1 and up,0.17526900953984287,9.4
Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.5,9116,4.0M,"500,000+",Free,0.0,Everyone,Health & Fitness,"July 30, 2018",1.1.22,4.1 and up,0.3521468253968254,4.0
Abs Training-Burn belly fat,HEALTH_AND_FITNESS,4.7,2071,6.9M,"100,000+",Free,0.0,Everyone,Health & Fitness,"July 24, 2018",1.0.12,4.1 and up,0.21741882334004728,6.9
Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,4.7,50294,11M,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"July 9, 2018",3.0.7,4.1 and up,0.3480287178805847,11.0
BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,4.2,14709,15M,"5,000,000+",Free,0.0,Everyone,Health & Fitness,"July 26, 2018",2.8.2,5.0 and up,0.29227532274407275,15.0
Bike Computer - GPS Cycling Tracker,HEALTH_AND_FITNESS,4.4,12029,4.3M,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"August 4, 2018",2.6,4.2 and up,0.28197840354090353,4.3
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,"10,000,000+",Free,0.0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,0.2648642413061273,67.0
Couch to 10K Running Trainer,HEALTH_AND_FITNESS,4.6,10445,48M,"500,000+",Free,0.0,Everyone,Health & Fitness,"July 2, 2018",112.0,4.4 and up,0.33737879109977326,48.0
"Home workouts - fat burning, abs, legs, arms,chest",HEALTH_AND_FITNESS,4.3,4848,13M,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"July 18, 2018",2.6,4.1 and up,0.4482204861111111,13.0
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31M,"5,000,000+",Free,0.0,Everyone,Health & Fitness,"July 16, 2018",3.48,4.1 and up,0.19199594209527243,31.0
Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25M,"10,000,000+",Free,0.0,Everyone,Health & Fitness,"August 3, 2018",5.3,5.0 and up,0.2742506820436508,25.0
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,"10,000,000+",Free,0.0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,0.2648642413061273,67.0
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0.0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.2570176467051467,35.0
Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12M,"500,000+",Free,0.0,Teen,Health & Fitness,"May 17, 2018",2.6.1,4.2 and up,0.2918472637721826,12.0
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15M,"100,000+",Free,0.0,Everyone,Health & Fitness,"August 2, 2018",3.0.0,4.1 and up,0.25801367845117845,15.0
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,"10,000,000+",Free,0.0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,0.2270075757575757,39.0
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0.0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.2570176467051467,35.0
Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,4.6,56145,23M,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"August 1, 2018",7.3.4-play,5.0 and up,0.5953125,23.0
"Eve Period Tracker - Love, Sex & Relationships App",HEALTH_AND_FITNESS,4.6,20326,28M,"1,000,000+",Free,0.0,Teen,Health & Fitness,"August 4, 2018",2.9.18,4.1 and up,0.5050367080835831,28.0
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1M,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"July 31, 2018",4.5.4,4.1 and up,0.27732642225499365,6.1
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19M,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"July 16, 2018",6.5.1,5.0 and up,0.37584199559148174,19.0
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8M,"500,000+",Free,0.0,Everyone 10+,Health & Fitness,"February 17, 2017",1.9,2.3.3 and up,0.4707328206587227,3.8
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5M,"100,000+",Free,0.0,Everyone,Health & Fitness,"August 27, 2016",2.3.4,5.0 and up,0.24751868247122885,5.5
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,"500,000+",Free,0.0,Everyone,Health & Fitness,"July 15, 2018",3.3,4.0 and up,0.39151077097505665,3.3
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,0.0,Everyone,Health & Fitness,"January 29, 2018",10.2.0,4.0 and up,0.09797280294231513,4.0
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19M,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"July 16, 2018",6.5.1,5.0 and up,0.37584199559148174,19.0
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8M,"500,000+",Free,0.0,Everyone 10+,Health & Fitness,"February 17, 2017",1.9,2.3.3 and up,0.4707328206587227,3.8
Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,4.1,2469,3.6M,"100,000+",Free,0.0,Everyone,Health & Fitness,"July 23, 2014",1.0.9,2.3 and up,0.2450441468253968,3.6
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5M,"100,000+",Free,0.0,Everyone,Health & Fitness,"August 27, 2016",2.3.4,5.0 and up,0.24751868247122885,5.5
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,"500,000+",Free,0.0,Everyone,Health & Fitness,"July 15, 2018",3.3,4.0 and up,0.39151077097505665,3.3
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,"100,000+",Free,0.0,Everyone,Health & Fitness,"January 29, 2018",10.2.0,4.0 and up,0.09797280294231513,4.0
Happify,HEALTH_AND_FITNESS,3.7,1812,37M,"100,000+",Free,0.0,Everyone,Health & Fitness,"July 24, 2018",1.31.0-15160.950adac99,4.4 and up,0.21889678030303028,37.0
Brain Waves - Binaural Beats,HEALTH_AND_FITNESS,4.4,5038,10M,"500,000+",Free,0.0,Everyone,Health & Fitness,"July 15, 2018",5.2,4.4 and up,0.22173148899711398,10.0
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15M,"100,000+",Free,0.0,Everyone,Health & Fitness,"August 2, 2018",3.0.0,4.1 and up,0.25801367845117845,15.0
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31M,"5,000,000+",Free,0.0,Everyone,Health & Fitness,"July 16, 2018",3.48,4.1 and up,0.19199594209527243,31.0
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,"10,000,000+",Free,0.0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,0.2270075757575757,39.0
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0.0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.2570176467051467,35.0
"Homes.com 🏠 For Sale, Rent",HOUSE_AND_HOME,4.0,6000,18M,"1,000,000+",Free,0.0,Everyone,House & Home,"July 28, 2018",9.6.8,4.1 and up,0.23836580086580086,18.0
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5M,"1,000,000+",Free,0.0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up,0.4664228723404255,7.5
Gold Butterfly Keyboard Theme,HOUSE_AND_HOME,4.3,10054,9.1M,"1,000,000+",Free,0.0,Everyone,House & Home,"July 12, 2018",6.7.12.2018,4.0.3 and up,0.4308228519166019,9.1
"Apartment, Home Rental Search: Realtor.com Rentals",HOUSE_AND_HOME,3.9,10117,13M,"1,000,000+",Free,0.0,Everyone,House & Home,"June 29, 2018",3.6,4.0.3 and up,-0.003732900432900429,13.0
DIY On A Budget,HOUSE_AND_HOME,4.7,114,8.3M,"10,000+",Free,0.0,Teen,House & Home,"February 18, 2018",2.1,4.1 and up,0.44806264074729985,8.3
Free Foreclosure Real Estate Search by USHUD.com,HOUSE_AND_HOME,3.4,287,27M,"100,000+",Free,0.0,Everyone,House & Home,"May 29, 2018",2.4.2,4.4 and up,-0.03836728574277404,27.0
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16M,"1,000,000+",Free,0.0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up,0.07240305487588096,16.0
Home Decor Showpiece Art making: Medium Difficulty,HOUSE_AND_HOME,4.3,273,7.0M,"50,000+",Free,0.0,Everyone,House & Home,"May 30, 2018",1.2,4.0.3 and up,0.19186666666666669,7.0
ColorSnap® Visualizer,HOUSE_AND_HOME,3.4,3280,77M,"1,000,000+",Free,0.0,Everyone,House & Home,"June 29, 2018",5.0.1,4.0.3 and up,0.02439102564102565,77.0
Apartment Decorating Ideas,HOUSE_AND_HOME,3.9,1478,5.7M,"100,000+",Free,0.0,Everyone,House & Home,"March 13, 2015",1.2,3.0 and up,0.245,5.7
Bathroom Decorating Ideas,HOUSE_AND_HOME,4.1,2427,5.3M,"500,000+",Free,0.0,Everyone,House & Home,"March 12, 2015",1.4,3.0 and up,0.36267578125,5.3
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5M,"1,000,000+",Free,0.0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up,0.4664228723404255,7.5
Homesnap Real Estate & Rentals,HOUSE_AND_HOME,4.3,3834,30M,"500,000+",Free,0.0,Everyone,House & Home,"July 31, 2018",5.20.38,4.2 and up,0.27684800170068025,30.0
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16M,"1,000,000+",Free,0.0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up,0.07240305487588096,16.0
Aviary Effects: Classic,LIBRARIES_AND_DEMO,3.8,67007,232k,"5,000,000+",Free,0.0,Everyone,Libraries & Demo,"March 6, 2013",1.2.0,2.2 and up,0.10624119358661768,0.2265625
Chakra Cleansing,LIBRARIES_AND_DEMO,4.6,539,99M,"50,000+",Free,0.0,Everyone,Libraries & Demo,"August 2, 2018",7.0,4.0.3 and up,0.42473518668831167,99.0
Aviary Stickers: Free Pack,LIBRARIES_AND_DEMO,3.5,126862,624k,"10,000,000+",Free,0.0,Everyone,Libraries & Demo,"January 17, 2012",1.0,2.2 and up,0.0658285525785526,0.609375
Binaural Beats Meditation,LIBRARIES_AND_DEMO,4.3,411,95M,"50,000+",Free,0.0,Everyone,Libraries & Demo,"June 8, 2018",5.0,4.0.3 and up,0.35351810515873017,95.0
Essential Resources,LIBRARIES_AND_DEMO,4.6,237,8.5k,"50,000+",Free,0.0,Everyone,Libraries & Demo,"September 27, 2017",1.02,7.1 and up,0.28141962312860747,0.00830078125
Apk Installer,LIBRARIES_AND_DEMO,3.8,7750,292k,"1,000,000+",Free,0.0,Everyone,Libraries & Demo,"June 29, 2011",1.0,1.6 and up,0.19391694725028058,0.28515625
Cool Popular Ringtones 2018 🔥,LIBRARIES_AND_DEMO,4.5,60170,28M,"1,000,000+",Free,0.0,Everyone,Libraries & Demo,"July 13, 2018",2.4,5.0 and up,0.20348488136574072,28.0
Barcode Scanner,LIBRARIES_AND_DEMO,4.2,3945,9.4M,"500,000+",Free,0.0,Everyone,Libraries & Demo,"January 9, 2018",4.2.2,3.2 and up,0.38627013377013375,9.4
EyeCloud,LIBRARIES_AND_DEMO,3.1,1267,55M,"100,000+",Free,0.0,Everyone,Libraries & Demo,"August 2, 2018",5.1.2,4.4 and up,0.11717855447022113,55.0
Easy Hair Style Design,LIFESTYLE,4.3,601,5.1M,"100,000+",Free,0.0,Everyone,Lifestyle,"December 20, 2017",1.0,2.3 and up,0.4902037037037037,5.1
Easy Makeup Tutorials,LIFESTYLE,4.3,7287,5.0M,"1,000,000+",Free,0.0,Everyone,Lifestyle,"November 3, 2016",1.0,2.3 and up,0.2819713754609588,5.0
Horoscopes – Daily Zodiac Horoscope and Astrology,LIFESTYLE,4.6,161143,11M,"10,000,000+",Free,0.0,Everyone 10+,Lifestyle,"June 25, 2018",5.2.4(881),4.0.3 and up,0.2643148577612863,11.0
Entel,LIFESTYLE,3.2,16168,55M,"1,000,000+",Free,0.0,Everyone,Lifestyle,"July 26, 2018",2.2.9,4.0.3 and up,0.018577117327117344,55.0
Diary with lock,LIFESTYLE,4.6,815893,4.4M,"10,000,000+",Free,0.0,Everyone,Lifestyle,"June 30, 2018",4.90,4.1 and up,0.2837633405132804,4.4
FOSSIL Q: DESIGN YOUR DIAL,LIFESTYLE,4.3,985,16M,"500,000+",Free,0.0,Everyone,Lifestyle,"May 31, 2018",3.7,7.0 and up,0.2397669880624426,16.0
Family Locator - GPS Tracker,LIFESTYLE,4.4,726074,45M,"10,000,000+",Free,0.0,Everyone,Lifestyle,"August 2, 2018",16.7.1,4.4 and up,0.35857535238513494,45.0
HTC Speak,LIFESTYLE,3.5,6145,13M,"10,000,000+",Free,0.0,Everyone,Lifestyle,"June 30, 2016",8.00.775375,5.0 and up,0.0041057206682206535,13.0
H&M,LIFESTYLE,3.7,41941,14M,"10,000,000+",Free,0.0,Everyone,Lifestyle,"July 30, 2018",9.6.3,4.4 and up,0.02447295645212312,14.0
Anime Avatar Creator: Make Your Own Avatar,LIFESTYLE,4.2,10944,36M,"1,000,000+",Free,0.0,Everyone,Lifestyle,"June 15, 2018",2.0,4.1 and up,0.20215771508819977,36.0
Beautiful Design Birthday Cake,LIFESTYLE,4.3,665,3.0M,"500,000+",Free,0.0,Everyone,Lifestyle,"August 4, 2018",2.0,2.3 and up,0.2703075396825396,3.0
H Pack,LIFESTYLE,4.3,9412,1.7M,"1,000,000+",Free,0.0,Everyone,Lifestyle,"December 17, 2016",1.5.1,4.0.3 and up,0.10824242424242422,1.7
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,"100,000+",Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.05532565701260391,6.8
DIY Garden Ideas,LIFESTYLE,4.1,3309,13M,"500,000+",Free,0.0,Everyone,Lifestyle,"August 5, 2018",10.0,4.0 and up,0.4440441176470588,13.0
Brit + Co,LIFESTYLE,3.9,987,4.5M,"10,000+",Free,0.0,Everyone,Lifestyle,"August 29, 2017",2.0.4,4.0 and up,0.12312466179653678,4.5
Homestyler Interior Design & Decorating Ideas,LIFESTYLE,4.1,78298,29M,"5,000,000+",Free,0.0,Everyone,Lifestyle,"August 2, 2018",3.1.2.1,4.1 and up,0.1756305397541127,29.0
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,"100,000+",Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.05532565701260391,6.8
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,"100,000+",Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.05532565701260391,6.8
Etta Homes,LIFESTYLE,4.2,220,15M,"50,000+",Free,0.0,Everyone,Lifestyle,"July 26, 2018",9.1.0,5.0 and up,0.34462250712250714,15.0
Home Scouting® MLS Mobile,LIFESTYLE,4.3,1533,7.7M,"100,000+",Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.2.6,2.2 and up,0.09093580898268398,7.7
Bed Time Fan - White Noise Sleep Sounds,LIFESTYLE,4.5,10097,7.5M,"500,000+",Free,0.0,Everyone,Lifestyle,"April 26, 2018",1.2,4.0 and up,0.78125,7.5
7 Day Food Journal Challenge,LIFESTYLE,4.5,3346,14M,"100,000+",Free,0.0,Teen,Lifestyle,"March 8, 2017",3.6.3,4.0.3 and up,0.18941137566137567,14.0
Candy Crush Saga,GAME,4.4,22426677,74M,"500,000,000+",Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,0.03106786541005292,74.0
Bubble Shooter,GAME,4.5,148897,46M,"10,000,000+",Free,0.0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,0.2536763602776534,46.0
Hello Kitty Nail Salon,GAME,4.2,369203,24M,"50,000,000+",Free,0.0,Everyone,Casual;Pretend Play,"April 17, 2018",1.5,4.1 and up,0.057448088948088935,24.0
Clash Royale,GAME,4.6,23133508,97M,"100,000,000+",Free,0.0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,0.06915710869708802,97.0
Helix Jump,GAME,4.2,1497361,33M,"100,000,000+",Free,0.0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,0.09966548025873484,33.0
Block Puzzle,GAME,4.6,59800,7.8M,"5,000,000+",Free,0.0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,0.035221354404960235,7.8
Angry Birds Rio,GAME,4.4,2610526,46M,"100,000,000+",Free,0.0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,-0.038924252279907035,46.0
